korean,pronunciation,hanja,part_of_speech,definition,english
가게,가ː게,,명사,작은 규모로 물건을 펼쳐 놓고 파는 집.,shop; store
가격,가격,價格,명사,물건의 가치를 돈으로 나타낸 것.,price
가구,가구,家具,명사,"집 안에서 쓰이는 침대, 옷장, 식탁 등과 같은 도구.",furniture
가까이,가까이,,부사,거리가 멀지 않게.,closely
가끔,가끔,,부사,어쩌다가 한 번씩.,sometimes
가득,가득,,부사,양이나 수가 정해진 범위에 꽉 찬 모양.,full
가방,가방,,명사,물건을 넣어 손에 들거나 어깨에 멜 수 있게 만든 것.,bag
가수,가수,歌手,명사,노래하는 일을 직업으로 하는 사람.,singer
가슴,가슴,,명사,인간이나 동물의 목과 배 사이에 있는 몸의 앞 부분.,chest
가요,가요,歌謠,명사,많은 사람들이 즐겨 부르는 노래.,Korean popular song
가운데,가운데,,명사,한 공간이나 사물의 모든 끝에서 거의 같은 거리로 떨어져 있는 부분.,center; middle
가위,가위,,명사,"종이나 천, 머리카락 등을 자르는 도구.",scissors
가을,가을,,명사,네 계절 중의 하나로 여름과 겨울 사이의 계절.,fall
가장,가장,,부사,여럿 가운데에서 제일로.,best
가족,가족,家族,명사,"주로 한 집에 모여 살고 결혼이나 부모, 자식, 형제 등의 관계로 이루어진 사람들의 집단. 또는 그 구성원.",family
가지,가지,,의존 명사,사물의 종류를 헤아리는 말.,kind; sort
각각,각깍,各各,명사,여럿을 하나씩 떼어 놓은 하나하나의 것.,each; every single
간단히,간단히,簡單히,부사,길거나 복잡하지 않게.,briefly
간식,간ː식,間食,명사,식사와 식사 사이에 간단히 먹는 음식.,snack
간장,간장,간醬,명사,"음식의 간을 맞추는 데 쓰는, 짠맛이 나는 검은색 액체.",soy sauce
간호사,간호사,看護師,명사,병원에서 의사를 도와 환자를 돌보는 것이 직업인 사람.,nurse
갈비,갈비,,명사,"음식의 재료로 쓰이는 소, 돼지, 닭 등의 가슴뼈와 거기에 붙은 살. 또는 그것으로 만든 음식.",galbi
갈비탕,갈비탕,갈비湯,명사,소의 갈비를 잘라 넣고 오랫동안 끓인 국.,galbitang
갈색,갈쌕,褐色,명사,마른 나뭇잎처럼 거무스름한 누런 색.,brown
감,감ː,感,명사,어떤 일에 대한 느낌이나 생각.,feeling; sense
감기,감ː기,感氣,명사,"보통 기침, 콧물, 두통, 오한의 증상이 있는, 전염성이 있는 병.",cold
감기약,감ː기약,感氣藥,명사,감기를 치료하는 데 쓰이는 약.,cold medicine
감사,감ː사,感謝,명사,고맙게 여김. 또는 그런 마음.,gratitude; appreciation; thanks
감자,감자,,명사,"껍질은 연한 갈색이며 속은 연한 노란색인, 땅속에서 자라는 둥근 덩이 모양의 줄기.",potato
갑자기,갑짜기,,부사,미처 생각할 틈도 없이 빨리.,suddenly; all of a sudden
값,갑,,명사,사고파는 물건에 일정하게 매겨진 돈의 액수.,price
강,강,江,명사,넓고 길게 흘러 바다로 들어가는 물줄기.,river
강아지,강아지,,명사,개의 새끼.,puppy
같이,가치,,부사,둘 이상이 함께.,together
개,개ː,,명사,냄새를 잘 맡고 귀가 매우 밝으며 영리하고 사람을 잘 따라 사냥이나 애완 등의 목적으로 기르는 동물.,dog
개월,개월,個月,의존 명사,달을 세는 단위.,month
거,거,,의존 명사,"어떤 사물이나 현상, 또는 사실.",thing
거기,거기,,대명사,듣는 사람에게 가까운 곳을 가리키는 말.,there
거리,거ː리,距離,명사,두 개의 물건이나 장소 등이 서로 떨어져 있는 길이.,distance; length
거실,거실,居室,명사,"서양식 집에서, 가족이 모여서 생활하거나 손님을 맞는 중심 공간.",living room
거울,거울,,명사,물체의 모양을 비추어 보는 얇고 평평한 물건.,mirror
거의,거의/거이,,명사,전부에서 조금 모자란 정도.,most; almost
거절,거ː절,拒絕,명사,"다른 사람의 부탁이나 제안, 선물 등을 받아들이지 않음.",refusal; rejection; denial
거짓말,거ː진말,,명사,사실이 아닌 것을 사실인 것처럼 꾸며서 하는 말.,lie; falsehood
걱정,걱쩡,,명사,좋지 않은 일이 있을까 봐 두렵고 불안함.,worry; concern; care
건강,건ː강,健康,명사,몸이나 정신이 이상이 없이 튼튼한 상태.,health; wellbeing
건너편,건ː너편,건너便,명사,마주 대하고 있는 저 쪽 편.,opposite side
건물,건ː물,建物,명사,사람이 살거나 일을 하거나 물건을 보관하기 위해 지은 벽과 지붕이 있는 구조물.,building; structure; edifice
걸음,거름,,명사,다리를 움직여 두 발을 번갈아 옮겨 놓는 동작.,step; walk
검사,검ː사,檢事,명사,범죄를 수사하고 범인을 고발하는 사법 공무원.,prosecutor
검은색,거믄색,검은色,명사,빛이 없을 때의 밤하늘과 같이 매우 어둡고 짙은 색.,black
검정,검정,,명사,빛이 없을 때의 밤하늘과 같이 매우 어둡고 짙은 색.,black
것,걷,,의존 명사,정확히 가리키는 대상이 정해지지 않은 사물이나 사실.,something
겉,걷,,명사,안팎이 있는 물건에서 물건의 바깥 쪽 부분.,outside; surface; exterior
게임,,game,명사,규칙을 정해 이기고 지는 것을 가르는 놀이.,game
겨울,겨울,,명사,네 계절 중의 하나로 가을과 봄 사이의 추운 계절.,winter
결과,결과,結果,명사,어떤 일이나 과정이 끝난 후의 상태나 현상.,result; outcome
결석,결썩,缺席,명사,학교나 회의 등 공식적인 자리에 나오지 않음.,absence
결심,결씸,決心,명사,어떻게 하기로 굳게 마음을 정함. 또는 그런 마음.,decision; resolution; determination
결정,결쩡,決定,명사,무엇을 어떻게 하기로 분명하게 정함. 또는 그렇게 정해진 내용.,decision
결혼,결혼,結婚,명사,남자와 여자가 법적으로 부부가 됨.,marriage; wedding; union; matrimony
결혼식,결혼식,結婚式,명사,성인 남녀가 법적으로 부부가 됨을 알리는 의식.,wedding
경기,경ː기,競技,명사,운동이나 기술 등의 능력을 서로 겨룸.,game; match
경찰,경ː찰,警察,명사,사회의 질서를 지키고 국민의 안전과 재산을 보호하는 일. 또는 그러한 일을 맡은 국가 기관.,police; policing
경찰서,경ː찰써,警察署,명사,한 지역의 경찰 일을 맡아보는 관청.,police station
경치,경치,景致,명사,자연이나 지역의 아름다운 모습.,scenery; scene; view
경험,경험,經驗,명사,자신이 실제로 해 보거나 겪어 봄. 또는 거기서 얻은 지식이나 기능.,experience
계단,계단/게단,階段,명사,오르내리기 위하여 작은 단들을 비스듬하게 차례로 이어 놓은 시설.,stairs; staircase
계란,계란/게란,鷄卵,명사,닭의 알.,egg
계산,계ː산/게ː산,計算,명사,"수를 세거나 더하기, 빼기, 곱하기, 나누기 등의 셈을 함.",calculation
계속,계ː속/게ː속,繼續,명사,끊이지 않고 이어 나감.,continuance; succession
계절,계ː절/게ː절,季節,명사,"일 년을 자연 현상에 따라 봄, 여름, 가을, 겨울로 나눈 것의 한 때.",season
계획,계ː획/게ː훽,計劃/計畫,명사,앞으로의 일을 자세히 생각하여 정함.,plan; program; scheme; design
고개,고개,,명사,목을 포함한 머리 부분.,head
고기,고기,,명사,음식으로 먹는 동물의 살.,meat
고등학교,고등학꾜,高等學校,명사,중학교를 졸업한 수준의 학력을 갖추거나 중학교를 졸업하면 갈 수 있는 학교.,high school
고등학생,고등학쌩,高等學生,명사,고등학교에 다니는 학생.,high school student; high schooler
고모,고모,姑母,명사,아버지의 누나나 여동생을 이르거나 부르는 말.,paternal aunt
고민,고민,苦悶,명사,마음속에 걱정거리가 있어 괴로워하고 계속 신경 씀.,worry; anguish
고속버스,,高速bus,명사,주로 고속 도로를 이용하여 먼 거리를 빠른 속도로 다니는 버스.,express bus
고양이,고양이,,명사,어두운 곳에서도 사물을 잘 보고 쥐를 잘 잡으며 집 안에서 기르기도 하는 자그마한 동물.,cat
고장,고ː장,故障,명사,기계나 장치 등이 제대로 작동하지 않음.,defect; something wrong
고추장,고추장,고추醬,명사,고춧가루를 주재료로 해서 만든 붉은 색의 한국 고유의 양념.,gochujang; red chili paste
고향,고향,故鄕,명사,태어나서 자란 곳.,home; hometown
곧,곧,,부사,지체하지 않고 바로.,immediately
곳,곧,,명사,일정한 장소나 위치.,place; spot; location
공,공,公,명사,"국가나 사회, 단체, 집단과 관련된 일.",public affairs; being public
공무원,공무원,公務員,명사,국가나 지방 공공 단체의 업무를 담당하는 사람.,civil servant
공부,공부,工夫,명사,학문이나 기술을 배워서 지식을 얻음.,study
공원,공원,公園,명사,"사람들이 놀고 쉴 수 있도록 풀밭, 나무, 꽃 등을 가꾸어 놓은 넓은 장소.",park
공장,공장,工場,명사,원료나 재료를 가공하여 물건을 만들어 내는 곳.,factory; plant
공짜,공짜,空짜,명사,"힘이나 노력, 돈을 들이지 않고 거저 얻은 것.",something gained free of charge
공책,공책,空冊,명사,글씨를 쓰거나 그림을 그릴 수 있도록 줄이 쳐져 있거나 빈 종이로 매어 놓은 책.,notebook
공항,공항,空港,명사,비행기가 내리고 뜨기 위한 시설이 마련된 장소.,airport
공휴일,공휴일,公休日,명사,국경일이나 명절같이 국가에서 지정하여 쉬는 날.,public holiday
과거,과ː거,過去,명사,지나간 때.,past
과일,과ː일,,명사,"사과, 배, 포도, 밤 등과 같이 나뭇가지나 줄기에 열리는 먹을 수 있는 열매.",fruit
과자,과자,菓子,명사,"밀가루나 쌀가루 등에 우유, 설탕 등을 넣고 반죽하여 굽거나 튀긴 간식.",snack
관계,관계/관게,關係,명사,"둘 이상의 사람, 사물, 현상 등이 서로 관련을 맺음. 또는 그런 관련.",relationship
관광,관광,觀光,명사,"어떤 곳의 경치, 상황, 풍속 등을 찾아가서 구경함.",tourism
관광객,관광객,觀光客,명사,관광을 하러 다니는 사람.,tourist
관광지,관광지,觀光地,명사,"경치가 뛰어나거나 유적지, 온천 등이 있어 관광할 만한 곳.",tourist attraction
관심,관심,關心,명사,어떤 것을 향하여 끌리는 감정과 생각.,interest; attention
광고,광ː고,廣告,명사,사람들에게 널리 알림.,advertisement; publicity
광주,광주,光州,명사,전라남도의 중앙부에 있는 광역시. 호남 지방 최대의 도시로 산업은 서비스업이 중심을 이루며 기계 및 금속 공업도 발달하였다.,Gwangju
교과서,교ː과서/교ː꽈서,敎科書,명사,학교에서 어떤 과목을 가르치려고 만든 책.,textbook
교사,교ː사,敎師,명사,"유치원, 초등학교, 중학교, 고등학교 등에서 자격을 갖추고 학생을 가르치는 사람.",teacher
교수,교ː수,敎授,명사,학생을 가르침.,teaching; instruction
교실,교ː실,敎室,명사,"유치원, 초등학교, 중학교, 고등학교에서 교사가 학생들을 가르치는 방.",classroom
교육,교ː육,敎育,명사,"개인의 능력을 키우기 위해 지식, 교양, 기술 등을 가르치는 일.",education
교통,교통,交通,명사,"자동차, 기차, 배, 비행기 등의 탈것을 이용하여 사람이나 짐이 오고 가는 일.",transportation; traffic
교통비,교통비,交通費,명사,교통 기관을 이용하는 데 드는 비용.,fare; transportation expense
교통사고,교통사고,交通事故,명사,자동차나 기차 등이 다른 교통 기관과 부딪치거나 사람을 치는 사고.,traffic accident; car crash
교환,교환,交換,명사,무엇을 다른 것으로 바꿈.,exchange
교회,교ː회/교ː훼,敎會,명사,예수 그리스도를 구세주로 믿고 따르는 사람들의 공동체. 또는 그런 사람들이 모여 종교 활동을 하는 장소.,church
구,,,접사,‘사동’의 뜻을 더하는 접미사.,-gu-
구경,구ː경,,명사,흥미나 관심을 가지고 봄.,sightseeing
구두,구두,,명사,"정장을 입었을 때 신는 가죽, 비닐 등으로 만든 신발.",shoes
구름,구름,,명사,공기 속의 작은 물방울이나 얼음 알갱이가 한데 뭉쳐 하늘에 떠 있는 것.,cloud
구십,구십,九十,수사,십의 아홉 배가 되는 수.,ninety
구월,구월,九月,명사,일 년 열두 달 가운데 아홉째 달.,September
국,국,,명사,"고기나 생선, 채소 등에 물을 많이 붓고 끓인 음식.",guk; soup
국내,궁내,國內,명사,나라의 안.,interior of a country; domestic territory
국수,국쑤,,명사,"밀, 메밀, 감자 등의 가루를 반죽하여 칼이나 기계, 손으로 가늘고 길게 만든 식품. 또는 그것을 삶아서 만든 음식.",noodle
국적,국쩍,國籍,명사,한 나라의 구성원이 되는 자격.,nationality; citizenship
국제,국쩨,國際,명사,여러 나라에 관련되거나 여러 나라가 함께 하는 것.,being international; being global
군인,구닌,軍人,명사,군대에 속하여 무기를 다루는 등의 훈련을 받고 일정한 임무를 맡아 하는 사람.,soldier
권,권,卷,의존 명사,책이나 공책을 세는 단위.,volume; book
귀,귀,,명사,사람이나 동물의 머리 양옆에 있어 소리를 듣는 몸의 한 부분.,ear
귀걸이,귀거리,,명사,귀에 다는 장식품.,earrings
규칙,규칙,規則,명사,여러 사람이 지키도록 정해 놓은 법칙.,rule
귤,귤,橘,명사,"귤나무의 열매로, 껍질을 벗겨서 먹는 노란색 또는 주황색의 새콤달콤한 둥근 과일.",tangerine; mandarin orange
그,그,,대명사,말하는 사람과 듣는 사람이 아닌 사람을 가리키는 말.,
그거,그거,,대명사,듣는 사람에게 가까이 있거나 듣는 사람이 생각하고 있는 것을 가리키는 말.,
그것,그걷,,대명사,듣는 사람에게 가까이 있거나 듣는 사람이 생각하고 있는 것을 가리키는 말.,
그곳,그곧,,대명사,듣는 사람에게 가까운 곳을 가리키는 말.,there
그날,그날,,명사,앞에서 말한 날.,that day; the day
그냥,그냥,,부사,아무 것도 하지 않고 있는 그대로.,as it is; as it stands
그대로,그대로,,부사,변함없이 본래 있던 그 모양이나 상태와 같이.,as it is; as it stands
그동안,그동안,,명사,앞에서 이미 이야기한 만큼의 기간. 또는 다시 만나거나 연락하기까지의 일정한 기간.,meantime; meanwhile
그때,그때,,명사,앞에서 이야기한 어떤 때.,that time; that moment; then
그래,그래,,감탄사,"‘그렇게 하겠다, 그렇다, 알았다’ 등 긍정하는 뜻으로, 대답할 때 쓰는 말.",okay; sure
그래서,그래서,,부사,"앞의 내용이 뒤의 내용의 원인이나 근거, 조건 등이 될 때 쓰는 말.",so; therefore
그러나,그러나,,부사,앞의 내용과 뒤의 내용이 서로 반대될 때 쓰는 말.,but; however
그러니까,그러니까,,부사,그런 이유로. 또는 그런 까닭에.,so
그러면,그러면,,부사,앞의 내용이 뒤의 내용의 조건이 될 때 쓰는 말.,if so
그러므로,그러므로,,부사,"앞의 내용이 뒤의 내용의 이유나 원인, 근거가 될 때 쓰는 말.",therefore; so; hence
그런,그런,,관형사,"상태, 모양, 성질 등이 그러한.",like that
그런데,그런데,,부사,이야기를 앞의 내용과 관련시키면서 다른 방향으로 바꿀 때 쓰는 말.,by the way
그럼,그럼,,부사,앞의 내용이 뒤의 내용의 조건이 될 때 쓰는 말.,if so; in that case
그렇지만,그러치만,,부사,"앞에서 말한 내용과 대립되는 내용을 나타내어, 그것이 사실이지만.",but; however; nevertheless
그릇,그륻,,명사,음식을 담는 도구.,bowl; dish; container
그리고,그리고,,부사,앞의 내용에 이어 뒤의 내용을 단순히 나열할 때 쓰는 말.,and
그림,그ː림,,명사,선이나 색채로 사물의 모양이나 이미지 등을 평면 위에 나타낸 것.,drawing; painting; sketch
그만,그만,,부사,그 정도까지만.,no more
그분,그분,,대명사,(아주 높이는 말로) 그 사람.,geubun
그저께,그저께,,명사,어제의 전날. 즉 오늘로부터 이틀 전.,the day before yesterday
그쪽,그쪽,,대명사,듣는 사람에게 가까운 곳이나 방향을 가리키는 말.,there
극장,극짱,劇場,명사,"연극이나 음악, 무용 등을 공연하거나 영화를 상영하기 위한 시설을 갖춘 곳.",theater; cinema
근처,근ː처,近處,명사,"어떤 장소나 물건, 사람을 중심으로 하여 가까운 곳.",vicinity; neighborhood
글,글,,명사,생각이나 일 등의 내용을 글자로 나타낸 것.,writing; text
글쎄,글쎄,,감탄사,상대방의 물음이나 요구에 대하여 분명하지 않은 태도를 나타낼 때 쓰는 말.,well; hm
글쎄요,글쎄요,,감탄사,상대방의 물음이나 요구에 대하여 분명하지 않은 태도를 나타낼 때 쓰는 말.,well; hm
글씨,글씨,,명사,써 놓은 글자의 모양.,form of letters
글자,글짜,글字,명사,말을 적는 기호.,letter; character
금방,금방,今方,부사,바로 얼마 전에.,moment ago
금요일,그묘일,金曜日,명사,월요일을 기준으로 한 주의 다섯째 날.,Friday
금지,금ː지,禁止,명사,법이나 규칙이나 명령으로 어떤 행위를 하지 못하게 함.,ban
기간,기간,其間,명사,어느 일정한 때부터 다른 일정한 때까지의 동안.,period; term
기름,기름,,명사,불에 잘 타고 물에 잘 섞이지 않는 미끈미끈한 액체.,oil; fat
기분,기분,氣分,명사,"불쾌, 유쾌, 우울, 분노 등의 감정 상태.",mood; feelings
기쁨,기쁨,,명사,기분이 매우 좋고 즐거운 마음.,joy
기숙사,기숙싸,寄宿舍,명사,학교나 회사에서 학생이나 직원들이 함께 자고 식사하도록 제공하는 시설.,dormitory
기억,기억,記憶,명사,"이전의 모습, 사실, 지식, 경험 등을 잊지 않거나 다시 생각해 냄.",memory
기온,기온,氣溫,명사,대기의 온도.,air temperature
기자,기자,記者,명사,"신문, 잡지, 방송 등에 실을 기사를 조사하여 쓰거나 편집하는 사람.",reporter; journalist
기차,기차,汽車,명사,"사람이나 물건을 싣고 연료의 힘으로 철도 위를 달리는, 길이가 긴 차.",train
기차역,기차역,汽車驛,명사,기차를 타고 내리는 장소.,train station
기차표,기차표,汽車票,명사,기차를 타기 위하여 돈을 내고 사는 표.,train ticket
기침,기침,,명사,폐에서 목구멍을 통해 공기가 거친 소리를 내며 갑자기 터져 나오는 일.,cough
기타,,guitar,명사,앞뒤가 편평하며 가운데가 홀쭉하고 긴 통에 여섯 개의 줄을 매어 손가락으로 퉁겨 연주하는 악기.,guitar
기회,기회/기훼,機會,명사,어떤 일을 하기에 알맞은 시기나 경우.,chance; opportunity
긴장,긴장,緊張,명사,마음을 놓지 않고 정신을 바짝 차림.,nervousness; tension
길,길,,명사,사람이나 차 등이 지나다닐 수 있게 땅 위에 일정한 너비로 길게 이어져 있는 공간.,road; street; way
길이,기리,,명사,무엇의 한쪽 끝에서 다른 쪽 끝까지의 거리.,length; distance
김,김ː,,명사,액체가 열을 받아 기체로 변한 것.,steam
김밥,김ː밥/김ː빱,,명사,밥과 여러 가지 반찬을 김으로 말아 싸서 썰어 먹는 음식.,gimbap
김치,김치,,명사,배추나 무 등의 채소를 소금에 절인 후 양념에 버무려 발효시켜서 만든 음식.,kimchi
김치찌개,김치찌개,,명사,김치를 고기 등과 함께 넣고 끓인 찌개.,kimchi jjigae
깊이,기피,,부사,위에서 밑바닥까지 또는 겉에서 속까지의 거리가 멀게.,deeply; deep
까만색,까만색,까만色,명사,불빛이 없는 밤하늘처럼 짙은 검은색.,black
깜짝,깜짝,,부사,갑자기 놀라는 모양.,with a startle
깨끗이,깨끄시,,부사,더럽지 않게.,clean
껌,,←gum,명사,입에 넣고 오래 씹으면서 단물을 빼어 먹고는 뱉어서 버리는 먹을거리.,chewing gum
꼭,꼭,,부사,어떤 일이 있어도 반드시.,without fail; at any cost; certainly
꽃,꼳,,명사,"특유의 모양과 빛깔, 향기가 있으며 줄기 끝에 달려 있는 식물의 한 부분. 또는 그것이 피는 식물.",flower
꽃다발,꼳따발,,명사,여러 송이의 꽃을 하나로 묶은 것.,bouquet; bunch of flowers
꽃병,꼳뼝,꽃甁,명사,꽃을 꽂아 놓는 병.,vase
꽃집,꼳찝,,명사,꽃이나 화초 등의 식물을 파는 가게.,flower shop
꿈,꿈,,명사,잠자는 동안에 깨어 있을 때처럼 보고 듣고 느끼는 정신 현상.,dream
끝,끋,,명사,시간에서의 마지막 때.,end; final
나,나,,대명사,말하는 사람이 친구나 아랫사람에게 자기를 가리키는 말.,I
나라,나라,,명사,일정한 영토와 주권을 가지고 있는 사람들의 사회적인 조직.,country; nation; state
나머지,나머지,,명사,어떤 양을 채우고 남은 부분.,the rest; remainder
나무,나무,,명사,"단단한 줄기에 가지와 잎이 달린, 여러 해 동안 자라는 식물.",tree
나이,나이,,명사,사람이나 동물 또는 식물 등이 세상에 나서 살아온 햇수.,age
나중,나ː중,,명사,일정한 시간이 지난 뒤.,next time; later
나흘,나흘,,명사,네 날.,four days
낚시,낙씨,,명사,물고기를 낚는 데 쓰는 끝이 뾰족한 작은 도구.,fishing hook
날,날,,명사,밤 열두 시에서 다음 밤 열두 시까지의 이십사 시간 동안.,day
날씨,날씨,,명사,"그날그날의 기온이나 공기 중에 비, 구름, 바람, 안개 등이 나타나는 상태.",weather
날짜,날짜,,명사,날의 수.,days
남,남,,명사,내가 아닌 다른 사람.,others; another person
남녀,남녀,男女,명사,남자와 여자.,man and woman
남대문,남대문,南大門,명사,서울시에 위치한 조선 시대 도성의 남쪽 정문. 사대문의 하나로 '서울 숭례문'이 정식 이름이다.,Namdaemun Gate
남동생,남동생,男동생,명사,남자 동생.,younger brother
남산,남산,南山,명사,서울특별시 중구와 용산구 사이에 있는 산.,Namsan Mountain
남성,남성,男性,명사,"아기를 낳지 못하는 성, 또는 그런 성을 가진 어른이 된 사람.",male
남자,남자,男子,명사,남성으로 태어난 사람.,man; male
남쪽,남쪽,南쪽,명사,"네 방위 중의 하나로, 나침반의 에스 극이 가리키는 쪽.",south; southern area
남편,남편,男便,명사,부부 관계에서의 남자.,husband
남학생,남학쌩,男學生,명사,남자 학생.,male student
낮,낟,,명사,해가 뜰 때부터 질 때까지의 동안.,day; daytime
낮잠,낟짬,,명사,낮에 자는 잠.,nap; napping
내,내,,대명사,‘나’에 조사 ‘가’가 붙을 때의 형태.,I
내과,내ː꽈,內科,명사,주로 약물로 내장 기관의 질병을 치료하는 의학 분야. 또는 그 분야의 병원.,internal department
내년,내년,來年,명사,올해의 바로 다음 해.,next year
내용,내ː용,內容,명사,그릇이나 상자 등의 안에 든 것.,content; substance
내일,내일,來日,명사,오늘의 다음 날.,days to come; future
냄비,냄비,,명사,"음식을 끓이는 데 쓰는, 솥보다 작고 뚜껑과 손잡이가 있는 그릇.",sauce pan
냄새,냄ː새,,명사,코로 맡을 수 있는 기운.,smell; scent; odor
냉면,냉ː면,冷麵,명사,국수를 냉국이나 김칫국 등에 말거나 고추장 양념에 비벼서 먹는 음식.,naengmyeon; cold buckwheat noodles
냉장고,냉ː장고,冷藏庫,명사,음식을 상하지 않게 하거나 차갑게 하려고 낮은 온도에서 보관하는 상자 모양의 기계.,refrigerator; fridge
너,너,,대명사,"듣는 사람이 친구나 아랫사람일 때, 그 사람을 가리키는 말.",
너무,너무,,부사,일정한 정도나 한계를 훨씬 넘어선 상태로.,too
너희,너히,,대명사,"듣는 사람이 친구나 아랫사람들일 때, 그 사람들을 가리키는 말.",you
네,네,,감탄사,윗사람의 부름에 대답할 때 쓰는 말.,yes; yes sir; yes ma'am
넥타이,,necktie,명사,남자가 양복을 입을 때 와이셔츠 목둘레에 매는 가늘고 긴 천.,necktie
넷,넫ː,,수사,셋에 하나를 더한 수.,four
넷째,넫ː째,,명사,처음부터 세어 모두 네 개가 됨.,fourth
년,년,年,의존 명사,한 해를 세는 단위.,nyeon
노란색,노란색,노란色,명사,병아리나 바나나와 같은 색.,yellow
노래,노래,,명사,운율에 맞게 지은 가사에 곡을 붙인 음악. 또는 그런 음악을 소리 내어 부름.,song; music; singing
노래방,노래방,노래房,명사,가사를 보면서 노래를 부를 수 있도록 음악 기계를 갖추어 놓은 장소.,noraebang; singing room
노력,노력,努力,명사,어떤 목적을 이루기 위하여 힘을 들이고 애를 씀.,effort; endeavor; hard work
노인,노ː인,老人,명사,나이가 들어 늙은 사람.,old person; the aged; senior citizen
노트,,note,명사,글씨를 쓰거나 그림을 그릴 수 있게 흰 종이나 줄을 친 종이를 묶은 책.,notebook
녹색,녹쌕,綠色,명사,풀이나 나뭇잎과 같은 색.,green
녹차,녹차,綠차,명사,차나무의 잎을 딴 후 햇볕에 말린 푸른색 잎. 또는 그 잎으로 만든 차.,green tea
놀이,노리,,명사,즐겁게 노는 일.,play; entertainment
농구,농구,籠球,명사,"다섯 사람씩 두 팀이 하며, 상대방의 바스켓에 공을 많이 넣으면 이기는 경기.",basketball
농담,농ː담,弄談,명사,장난으로 다른 사람을 놀리거나 웃기려고 하는 말.,joke
높이,노피,,명사,높은 정도.,height; depth
누구,누구,,대명사,모르는 사람을 가리키는 말.,
누나,누ː나,,명사,남자가 형제나 친척 형제들 중에서 자기보다 나이가 많은 여자를 이르거나 부르는 말.,elder sister
눈,눈,,명사,사람이나 동물의 얼굴에 있으며 빛의 자극을 받아 물체를 볼 수 있는 감각 기관.,eye
눈물,눈물,,명사,사람이나 동물의 눈에서 흘러나오는 맑은 액체.,tear
뉴스,,news,명사,새 소식을 전해 주는 방송 프로그램.,news
느낌,느낌,,명사,몸이나 마음에서 일어나는 기분이나 감정.,feeling; sense; impression
늘,늘,,부사,언제나 변함이 없이 항상.,always
능력,능녁,能力,명사,어떤 일을 할 수 있는 힘.,ability; capability; competence
다,다ː,,부사,남거나 빠진 것이 없이 모두.,all; everything
다른,다른,,관형사,해당하는 것 이외의.,different; other
다리,다리,,명사,"사람이나 동물의 몸통 아래에 붙어, 서고 걷고 뛰는 일을 하는 신체 부위.",leg
다섯,다섣,,관형사,넷에 하나를 더한 수의.,five
다섯째,다섣째,,수사,순서가 다섯 번째인 차례.,fifth
다시,다시,,부사,같은 말이나 행동을 반복해서 또.,again
다음,다음,,명사,어떤 차례에서 바로 뒤.,next; following
다음날,다음날,,명사,정해지지 않은 미래의 어느 날.,someday
다이어트,,diet,명사,건강이나 미용을 위해 음식의 종류와 양을 조절해서 먹는 일.,diet
단순,단순,單純,명사,복잡하지 않고 간단한 것.,simplicity
단어,다너,單語,명사,일정한 뜻과 기능을 가지며 홀로 쓰일 수 있는 가장 작은 말의 단위.,word
단추,단추,,명사,옷을 여미기 위해 사용하는 작고 동그란 물건.,button
단풍,단풍,丹楓,명사,가을에 나뭇잎이 노란 색이나 붉은 색으로 변하는 현상. 또는 그렇게 변한 잎.,autumn foliage
달,달,,명사,밤이 되면 하늘에 뜨는 동그랗고 밝은 빛이 나는 천체.,moon
달걀,달걀,,명사,닭이 낳은 알.,hen's egg
달력,달력,달曆,명사,"한 해의 달, 날, 요일, 절기, 행사일 등을 날짜에 따라 적어 놓은 것.",calendar
달리기,달리기,,명사,두 발을 계속 빠르게 움직여 뛰는 일.,run
닭,닥,,명사,날지 못하고 알을 잘 낳으며 고기 맛이 좋아 집에서 기르는 큰 새.,hen
닭고기,닥꼬기,,명사,음식으로 먹는 닭의 살.,chicken
담배,담ː배,,명사,잎을 말려서 피우는 담배를 만드는 식물.,tobacco
답,답,答,명사,부르는 말에 대해 어떤 말을 함. 또는 그런 말.,answer; response
답장,답짱,答狀,명사,질문이나 편지에 대한 답으로 보내는 편지.,reply; answer
대,대ː,代,명사,한 집안에 조상으로부터 이어져 내려오는 혈통과 계보.,lineage; family tree
대구,대구,大邱,명사,영남 지방의 중앙부에 있는 광역시. 섬유 공업 등 각종 공업이 발달하였고 사과 산지로도 유명하다.,Daegu
대답,대ː답,對答,명사,부르는 말에 대해 어떤 말을 함. 또는 그 말.,answer; reply
대부분,대ː부분,大部分,명사,절반이 훨씬 넘어 전체에 가까운 수나 양.,most; bulk; majority
대사관,대ː사관,大使館,명사,대사를 중심으로 한 나라를 대표하여 다른 나라에서 외교 업무를 보는 기관.,embassy
대전,대전,大田,명사,"충청도의 중앙에 있는 광역시. 충청도, 전라도, 경상도를 연결하는 관문이고 경부선과 호남선이 갈리는 교통의 중심지이다.",Daejeon
대학,대ː학,大學,명사,고등학교를 마치고 진학하는 고등 교육 기관.,university; college
대학교,대ː학꾜,大學校,명사,"고등학교를 졸업하고 진학하는, 학교 교육의 마지막 단계인 최고 교육 기관. 또는 그런 기관이 들어 있는 건물과 시설.",university; college
대학생,대ː학쌩,大學生,명사,대학교에 다니는 학생.,college student
대학원,대ː하권,大學院,명사,대학교를 졸업한 사람이 전문적인 교육을 받고 연구를 하는 기관.,graduate school
