korean,pronunciation,hanja,part_of_speech,definition,english
낙착,낙착,落着,명사,문제가 되었던 일이 해결될 수 있도록 결정됨.,settlement; conclusion
낙찰,낙찰,落札,명사,경매나 경쟁 입찰에서 물건을 사거나 일을 하게 되는 사람이나 기관이 결정됨.,successful bid; successful tender
낙찰자,낙찰짜,落札者,명사,경매나 경쟁 입찰에서 물건을 사거나 일을 하게 된 사람 또는 단체.,successful bidder; highest tenderer
낙천,낙천,落薦,명사,선거에서 후보자로서 추천을 받지 못함.,not being nominated
낙천주의,낙천주의/낙천주이,樂天主義,명사,세상과 인생을 즐겁고 좋게 생각하는 태도나 생각.,optimism
낙하,나카,落下,명사,높은 곳에서 낮은 곳으로 떨어짐.,free fall; drop
낙하산,나카산,落下傘,명사,"하늘에서 사람이나 물건이 천천히 떨어지게 하는 데 쓰이는, 펼친 우산과 같은 모양의 장치.",parachute
낙향,나컁,落鄕,명사,대도시에서 살다가 고향이나 시골로 이사를 감.,going back to the rural life
낙화,나콰,落花,명사,꽃이 떨어짐. 또는 떨어진 꽃.,falling flower; fallen flower
낙후성,나쿠썽,落後性,명사,"기술, 문화, 생활 등이 뒤떨어진 상태.",falling behind; underdevelopment
낚시꾼,낙씨꾼,,명사,취미로 낚시를 하는 사람.,angler; fisherman
낚시질,낙씨질,,명사,낚시로 물고기를 잡는 일.,fishing
낚싯대,낙씨때/낙씯때,,명사,가늘고 긴 대에 낚싯줄을 매어 물고기를 잡을 때 쓰는 도구.,fishing rod; fishing pole
낚싯바늘,낙씨빠늘/낙씯빠늘,,명사,물고기를 낚는 데 쓰는 끝이 뾰족한 작은 도구.,fishhook
낚싯밥,낙씨빱/낙씯빱,,명사,물고기가 물도록 낚시 끝에 꿰어 단 물고기 먹이.,bait
낚싯배,낙씨빼/낙씯빼,,명사,낚시로 물고기를 잡는 데 쓰는 배.,fishing boat
낚싯줄,낙씨쭐/낙씯쭐,,명사,낚싯대에 낚싯바늘을 매어 달기 위하여 쓰는 줄이나 끈.,fishing line; fishing string
난공불락,난공불락,難攻不落,명사,공격하기 어려워 쉽게 무너지거나 빼앗기지 않음. 또는 그런 대상.,being impregnable; being unassailable
난공사,난공사,難工事,명사,어렵고 힘든 공사.,difficult construction work
난국,난국,難局,명사,어떤 일을 하기에 어려운 상황.,difficult situation; crisis
난기류,난ː기류,亂氣流,명사,속도와 방향이 불규칙하게 바뀌는 공기의 흐름.,air turbulence
난도질,난ː도질,亂刀질,명사,칼로 사람이나 물건을 마구 베는 짓.,hacking; chopping; mutilation
난독증,난독쯩,難讀症,명사,글자를 읽고 이해하는 데에 어려움이 있는 증세.,dyslexia
